window,pattern,actual,naive_last,ARIMA,LSTM,XGBoost,Dynamic (FAP-Scale),Oracle routing,routed_to
0,bursty,14.281374653832867,14.927633723513914,18.01836388923417,16.783938224866162,15.257794380187988,16.783938224866162,16.783938224866162,LSTM
0,bursty,14.95447337270804,14.281374653832867,18.904458952130067,16.53471385468204,14.937275886535645,16.53471385468204,16.53471385468204,LSTM
0,bursty,15.479325428218099,14.95447337270804,18.399692008852128,16.66271021532968,14.869698524475098,16.66271021532968,16.66271021532968,LSTM
0,bursty,14.443841404130964,15.479325428218099,17.42399106105087,16.862796722091634,16.2343807220459,16.862796722091634,16.862796722091634,LSTM
0,bursty,16.13188870902386,14.443841404130964,15.203974991909435,16.600352094168286,14.090200424194336,16.600352094168286,16.600352094168286,LSTM
0,bursty,14.810106041259147,16.13188870902386,15.138988814250991,17.03912756219169,19.2251033782959,17.03912756219169,17.03912756219169,LSTM
0,bursty,15.933755218740886,14.810106041259147,13.379246401101248,16.744114798665525,11.98831844329834,16.744114798665525,16.744114798665525,LSTM
0,bursty,14.801112634601694,15.933755218740886,14.017680788891752,17.00952712292785,25.77815055847168,17.00952712292785,17.00952712292785,LSTM
0,bursty,16.08311279204537,14.801112634601694,13.036125151109525,16.727551341642513,13.2441987991333,16.727551341642513,16.727551341642513,LSTM
0,bursty,15.946368214067746,16.08311279204537,14.703820980337529,17.0438285935936,14.67115592956543,17.0438285935936,17.0438285935936,LSTM
0,bursty,15.101076602610254,15.946368214067746,15.084002549103648,17.0853419772056,19.844573974609375,17.0853419772056,17.0853419772056,LSTM
0,bursty,16.238500156442065,15.101076602610254,16.40692783858342,16.82568662892536,19.130327224731445,16.82568662892536,16.82568662892536,LSTM
1,hybrid,13.577073580177757,16.13444127786089,13.663553779318502,15.402244416967333,14.504158973693848,14.504158973693848,14.504158973693848,XGBoost
1,hybrid,12.492758401371105,13.577073580177757,12.959438241544088,14.701781057522648,13.056594848632812,13.056594848632812,13.056594848632812,XGBoost
1,hybrid,11.12722743505498,12.492758401371105,13.528693804679966,14.358334717218334,12.554801940917969,12.554801940917969,12.554801940917969,XGBoost
1,hybrid,10.450259217061388,11.12722743505498,14.79067420839266,13.944904194669242,20.081958770751953,20.081958770751953,20.081958770751953,XGBoost
1,hybrid,10.185023017261404,10.450259217061388,16.36891190744221,13.631720113908688,14.030519485473633,14.030519485473633,14.030519485473633,XGBoost
1,hybrid,8.367293310100417,10.185023017261404,17.97600941881373,13.41140747982338,10.856947898864746,10.856947898864746,10.856947898864746,XGBoost
1,hybrid,6.857698870058055,8.367293310100417,18.044987904559928,12.903700707590488,9.727513313293457,9.727513313293457,9.727513313293457,XGBoost
1,hybrid,9.402222098503312,6.857698870058055,16.609050634317835,12.338718037474194,16.041898727416992,16.041898727416992,16.041898727416992,XGBoost
1,hybrid,10.945629975225062,9.402222098503312,16.04126065978876,12.438079513331125,15.595148086547852,15.595148086547852,15.595148086547852,XGBoost
1,hybrid,15.271787622140312,10.945629975225062,15.64312807720777,12.833384016631845,16.229877471923828,16.229877471923828,16.229877471923828,XGBoost
1,hybrid,17.461454134879503,15.271787622140312,16.50313444734021,14.250519084592984,18.93315887451172,18.93315887451172,18.93315887451172,XGBoost
1,hybrid,20.88008013710265,17.461454134879503,17.175135999207892,15.635868914238529,20.33579444885254,20.33579444885254,20.33579444885254,XGBoost
2,periodic,11.573923404378373,10.214643674044273,11.185532918634483,9.718702127981883,10.578722953796387,11.185532918634483,11.185532918634483,ARIMA
2,periodic,12.183120091004817,11.573923404378373,12.192061853418425,10.486884549682134,12.314569473266602,12.192061853418425,12.192061853418425,ARIMA
2,periodic,14.182151208044601,12.183120091004817,13.01281170172656,10.909852583712295,13.002188682556152,13.01281170172656,13.01281170172656,ARIMA
2,periodic,14.364583889349671,14.182151208044601,13.900901477040522,12.11624660968127,14.93380069732666,13.900901477040522,13.900901477040522,ARIMA
